batchdone: 0  G_loss: tensor(51.1940, grad_fn=<AddBackward0>)   D_loss: tensor(1.5790, grad_fn=<MulBackward0>)
batchdone: 50  G_loss: tensor(31.7072, grad_fn=<AddBackward0>)   D_loss: tensor(0.3686, grad_fn=<MulBackward0>)
batchdone: 100  G_loss: tensor(36.0837, grad_fn=<AddBackward0>)   D_loss: tensor(0.1845, grad_fn=<MulBackward0>)
batchdone: 150  G_loss: tensor(40.2836, grad_fn=<AddBackward0>)   D_loss: tensor(0.1217, grad_fn=<MulBackward0>)
batchdone: 200  G_loss: tensor(35.9383, grad_fn=<AddBackward0>)   D_loss: tensor(0.0817, grad_fn=<MulBackward0>)
batchdone: 250  G_loss: tensor(32.1349, grad_fn=<AddBackward0>)   D_loss: tensor(0.0881, grad_fn=<MulBackward0>)
batchdone: 300  G_loss: tensor(37.3886, grad_fn=<AddBackward0>)   D_loss: tensor(0.0617, grad_fn=<MulBackward0>)
batchdone: 350  G_loss: tensor(35.3465, grad_fn=<AddBackward0>)   D_loss: tensor(0.2080, grad_fn=<MulBackward0>)
batchdone: 400  G_loss: tensor(35.3248, grad_fn=<AddBackward0>)   D_loss: tensor(0.0837, grad_fn=<MulBackward0>)
batchdone: 450  G_loss: tensor(38.9533, grad_fn=<AddBackward0>)   D_loss: tensor(0.0784, grad_fn=<MulBackward0>)
batchdone: 500  G_loss: tensor(32.5777, grad_fn=<AddBackward0>)   D_loss: tensor(0.0624, grad_fn=<MulBackward0>)
batchdone: 550  G_loss: tensor(34.5141, grad_fn=<AddBackward0>)   D_loss: tensor(0.1515, grad_fn=<MulBackward0>)
batchdone: 600  G_loss: tensor(33.4877, grad_fn=<AddBackward0>)   D_loss: tensor(0.0686, grad_fn=<MulBackward0>)
batchdone: 650  G_loss: tensor(31.9034, grad_fn=<AddBackward0>)   D_loss: tensor(0.0430, grad_fn=<MulBackward0>)
batchdone: 700  G_loss: tensor(37.6966, grad_fn=<AddBackward0>)   D_loss: tensor(0.0456, grad_fn=<MulBackward0>)
batchdone: 750  G_loss: tensor(30.9818, grad_fn=<AddBackward0>)   D_loss: tensor(0.0562, grad_fn=<MulBackward0>)
batchdone: 800  G_loss: tensor(36.1204, grad_fn=<AddBackward0>)   D_loss: tensor(0.0632, grad_fn=<MulBackward0>)
batchdone: 850  G_loss: tensor(32.8162, grad_fn=<AddBackward0>)   D_loss: tensor(0.0393, grad_fn=<MulBackward0>)
batchdone: 900  G_loss: tensor(32.4429, grad_fn=<AddBackward0>)   D_loss: tensor(0.1814, grad_fn=<MulBackward0>)
batchdone: 950  G_loss: tensor(32.7737, grad_fn=<AddBackward0>)   D_loss: tensor(0.0306, grad_fn=<MulBackward0>)
batchdone: 1000  G_loss: tensor(34.3302, grad_fn=<AddBackward0>)   D_loss: tensor(0.0388, grad_fn=<MulBackward0>)
batchdone: 1050  G_loss: tensor(36.5972, grad_fn=<AddBackward0>)   D_loss: tensor(0.0415, grad_fn=<MulBackward0>)
batchdone: 1100  G_loss: tensor(34.3254, grad_fn=<AddBackward0>)   D_loss: tensor(0.1225, grad_fn=<MulBackward0>)
batchdone: 1150  G_loss: tensor(34.1651, grad_fn=<AddBackward0>)   D_loss: tensor(0.0494, grad_fn=<MulBackward0>)
batchdone: 1200  G_loss: tensor(34.1216, grad_fn=<AddBackward0>)   D_loss: tensor(0.1740, grad_fn=<MulBackward0>)
batchdone: 1250  G_loss: tensor(28.2796, grad_fn=<AddBackward0>)   D_loss: tensor(0.0589, grad_fn=<MulBackward0>)
batchdone: 1300  G_loss: tensor(33.2049, grad_fn=<AddBackward0>)   D_loss: tensor(0.0821, grad_fn=<MulBackward0>)
batchdone: 1350  G_loss: tensor(29.4746, grad_fn=<AddBackward0>)   D_loss: tensor(0.0892, grad_fn=<MulBackward0>)
batchdone: 1400  G_loss: tensor(29.0116, grad_fn=<AddBackward0>)   D_loss: tensor(0.0416, grad_fn=<MulBackward0>)
batchdone: 1450  G_loss: tensor(28.9408, grad_fn=<AddBackward0>)   D_loss: tensor(0.0672, grad_fn=<MulBackward0>)
batchdone: 1500  G_loss: tensor(28.5870, grad_fn=<AddBackward0>)   D_loss: tensor(0.0593, grad_fn=<MulBackward0>)
batchdone: 1550  G_loss: tensor(32.6486, grad_fn=<AddBackward0>)   D_loss: tensor(0.0578, grad_fn=<MulBackward0>)
batchdone: 1600  G_loss: tensor(29.7104, grad_fn=<AddBackward0>)   D_loss: tensor(0.0435, grad_fn=<MulBackward0>)
batchdone: 1650  G_loss: tensor(30.4300, grad_fn=<AddBackward0>)   D_loss: tensor(0.0445, grad_fn=<MulBackward0>)
batchdone: 1700  G_loss: tensor(29.5113, grad_fn=<AddBackward0>)   D_loss: tensor(0.0567, grad_fn=<MulBackward0>)
batchdone: 1750  G_loss: tensor(28.8161, grad_fn=<AddBackward0>)   D_loss: tensor(0.0575, grad_fn=<MulBackward0>)
batchdone: 1800  G_loss: tensor(30.2321, grad_fn=<AddBackward0>)   D_loss: tensor(0.1753, grad_fn=<MulBackward0>)
batchdone: 1850  G_loss: tensor(26.3429, grad_fn=<AddBackward0>)   D_loss: tensor(0.0406, grad_fn=<MulBackward0>)
batchdone: 1900  G_loss: tensor(25.0155, grad_fn=<AddBackward0>)   D_loss: tensor(0.0829, grad_fn=<MulBackward0>)
batchdone: 1950  G_loss: tensor(28.3094, grad_fn=<AddBackward0>)   D_loss: tensor(0.0579, grad_fn=<MulBackward0>)
batchdone: 2000  G_loss: tensor(28.6476, grad_fn=<AddBackward0>)   D_loss: tensor(0.0246, grad_fn=<MulBackward0>)
batchdone: 2050  G_loss: tensor(27.3872, grad_fn=<AddBackward0>)   D_loss: tensor(0.0911, grad_fn=<MulBackward0>)
batchdone: 2100  G_loss: tensor(30.0490, grad_fn=<AddBackward0>)   D_loss: tensor(0.0306, grad_fn=<MulBackward0>)
batchdone: 2150  G_loss: tensor(26.3366, grad_fn=<AddBackward0>)   D_loss: tensor(0.0563, grad_fn=<MulBackward0>)
batchdone: 2200  G_loss: tensor(26.0482, grad_fn=<AddBackward0>)   D_loss: tensor(0.1102, grad_fn=<MulBackward0>)
batchdone: 2250  G_loss: tensor(24.7681, grad_fn=<AddBackward0>)   D_loss: tensor(0.0676, grad_fn=<MulBackward0>)
batchdone: 2300  G_loss: tensor(27.1352, grad_fn=<AddBackward0>)   D_loss: tensor(0.0391, grad_fn=<MulBackward0>)
batchdone: 2350  G_loss: tensor(25.3299, grad_fn=<AddBackward0>)   D_loss: tensor(0.0303, grad_fn=<MulBackward0>)
batchdone: 2400  G_loss: tensor(26.4405, grad_fn=<AddBackward0>)   D_loss: tensor(0.1110, grad_fn=<MulBackward0>)
batchdone: 2450  G_loss: tensor(28.0009, grad_fn=<AddBackward0>)   D_loss: tensor(0.0359, grad_fn=<MulBackward0>)
batchdone: 2500  G_loss: tensor(28.7691, grad_fn=<AddBackward0>)   D_loss: tensor(0.0951, grad_fn=<MulBackward0>)
batchdone: 2550  G_loss: tensor(26.8307, grad_fn=<AddBackward0>)   D_loss: tensor(0.0536, grad_fn=<MulBackward0>)
batchdone: 2600  G_loss: tensor(23.4523, grad_fn=<AddBackward0>)   D_loss: tensor(0.1151, grad_fn=<MulBackward0>)
